caso_id,llamante_descripcion,llamante_genero,llamante_vinculo_ninios_presentes,violencia_tipo,victima_edad,victima_rango_etario,victima_genero,victima_cantidad,agresor_cantidad,agresor_genero,agresor_relacion_victima,llamado_derivacion,llamado_fecha,llamado_hora,llamado_region
457164,Otra/o sobre una situación de conflicto familiar,Femenino,Madre,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-02,08:17,Metropolitana
457165,Víctima,Femenino,Madre,Física y psicológica,28,18 a 29 años,Femenino,3,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-02,08:59,PAMPEANA
457166,Familiar,Femenino,Otro familiar,Psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-02,10:01,Metropolitana
457167,Familiar,Femenino,Otro familiar,Psicológica,15,12 a 17 años,Masculino,1,1,Masculino,Padrastro,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-02,10:24,Metropolitana
420275,Víctima,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-02,11:38,Metropolitana
457168,Víctima,Femenino,No hay niñas/os,Física y psicológica,75,Más de 60 años,Femenino,1,1,Masculino,Hijo/a,Llamante solicitó información y/o orientación,2024-01-02,12:17,Metropolitana
457169,Víctima,Masculino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-02,13:19,Metropolitana
457170,Víctima,Femenino,Madre,Psicológica,63,Más de 60 años,Femenino,1,1,Masculino,Hijo/a,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-02,13:22,Metropolitana
457171,Familiar,Masculino,Padre,Psicológica,Sin dato,Sin dato,Masculino,1,1,NS/NC,NS/NC,Llamante solicitó información y/o orientación,2024-01-02,16:42,PAMPEANA
457172,Familiar,Femenino,Otro familiar,Física y psicológica,13,12 a 17 años,Femenino,1,1,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-02,16:58,Metropolitana
457173,Familiar,Femenino,No hay niñas/os,Física y psicológica,73,Más de 60 años,Masculino,1,1,Femenino,Hijo/a,Llamante solicitó información y/o orientación,2024-01-02,17:22,Pampeana
454342,NS/NC,Femenino,Madre,Psicológica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Llamante solicitó información y/o orientación,2024-01-02,17:33,Metropolitana
457174,Víctima,Femenino,No hay niñas/os,Psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-02,17:35,Metropolitana
457175,Víctima,Femenino,NS/NC,Física y psicológica,17,12 a 17 años,Femenino,1,1,Masculino,Otro/a conviviente,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-02,17:49,NEA
457176,Familiar,Femenino,NS/NC,Física y psicológica,16,12 a 17 años,Femenino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-02,17:57,Metropolitana
433353,Víctima,Femenino,Madre,Psicológica,3,0 a 5 años,Femenino,2,1,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-02,18:16,Metropolitana
457177,Víctima,Femenino,NS/NC,Física y psicológica,34,30 a 39 años,Femenino,1,2,Masculino,Otro/a no conviviente,Llamante solicitó información y/o orientación,2024-01-02,18:25,Metropolitana
457178,Víctima,Femenino,Madre,Física y psicológica,29,18 a 29 años,Femenino,2,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-02,18:42,NOA
457179,Familiar,Masculino,Padre,Física y psicológica,11,06 a 11 años,Femenino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-02,18:57,Metropolitana
457180,Víctima,Femenino,NS/NC,Psicológica,16,12 a 17 años,Femenino,1,4,Masculino,Padre,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-02,20:00,Metropolitana
457190,Familiar,Femenino,Madre,Física y psicológica,5,0 a 5 años,Femenino,1,2,Femenino,Otro/a conviviente,Llamante solicitó información y/o orientación,2024-01-03,00:00,Cuyo
457193,Otro/a,Femenino,NS/NC,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-03,08:33,PAMPEANA
457195,Víctima,Femenino,Madre,Psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-03,12:10,Metropolitana
457196,Familiar,Masculino,No hay niñas/os,Psicológica,Sin dato,Sin dato,Femenino,2,1,Masculino,Hijo/a,Llamante solicitó información y/o orientación,2024-01-03,13:14,Metropolitana
457197,Víctima,Femenino,No hay niñas/os,Psicológica,31,30 a 39 años,Femenino,1,1,NS/NC,Madre,Llamante solicitó información y/o orientación,2024-01-03,13:20,Pampeana
457198,Víctima,Femenino,No hay niñas/os,Psicológica,54,50 a 59 años,Femenino,1,1,Masculino,Ex pareja,Otras,2024-01-03,17:00,Metropolitana
457199,Víctima,Femenino,No hay niñas/os,Psicológica,25,18 a 29 años,Femenino,2,2,Masculino,Hermano/a,Llamante solicitó información y/o orientación,2024-01-03,18:22,PAMPEANA
457200,Familiar,Femenino,Otro familiar,Psicológica,26,18 a 29 años,Masculino,2,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-03,18:31,Metropolitana
451771,Víctima,Femenino,No hay niñas/os,Psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Hijo/a,Llamante solicitó información y/o orientación,2024-01-03,18:40,Metropolitana
457201,Otra/o sobre una situación de conflicto familiar,Femenino,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-03,18:41,Metropolitana
"453970,Víctima,Femenino,Madre,""Económica, física y psicológica"",40,40 a 49 años,Femenino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-03,18:43,Metropolitana"
"449346,Familiar,Femenino,No hay niñas/os,""Económica, física y psicológica"",68,Más de 60 años,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-03,18:46,Metropolitana"
457203,Víctima,Femenino,Madre,Económica y psicológica,40,40 a 49 años,Femenino,2,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-03,18:48,Metropolitana
457202,Otra/o sobre una situación de conflicto familiar,Femenino,Madre,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-03,18:49,NOA
"457204,Víctima,Femenino,No hay niñas/os,""Económica, física y psicológica"",Sin dato,Sin dato,Femenino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-03,18:52,PAMPEANA"
"457205,Víctima,Femenino,No hay niñas/os,""Económica, física y psicológica"",Sin dato,Sin dato,Femenino,1,1,Masculino,Hermano/a,Llamante solicitó información y/o orientación,2024-01-03,18:55,NOA"
"457206,Víctima,Femenino,Madre,""Económica, física y psicológica"",21,18 a 29 años,Femenino,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-03,19:12,Patagonia"
457207,Víctima,NS/NC,Madre,Psicológica,Sin dato,Sin dato,NS/NC,2,1,NS/NC,Ex pareja,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-03,20:52,Metropolitana
457208,Otra/o sobre una situación de conflicto familiar,Femenino,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-03,22:02,Ns/Nc
457209,Vecina/o,Masculino,No hay niñas/os,Psicológica,22,18 a 29 años,Femenino,1,1,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-03,22:26,Metropolitana
457210,Víctima,Femenino,Madre,Física y psicológica,34,30 a 39 años,Femenino,3,2,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-03,23:04,Metropolitana
457211,Víctima,Femenino,No hay niñas/os,Psicológica,37,30 a 39 años,Femenino,2,1,Femenino,Hermano/a,Llamante solicitó información y/o orientación,2024-01-03,23:11,Metropolitana
457212,Familiar,Femenino,Otro familiar,Psicológica,7,06 a 11 años,Masculino,2,1,Masculino,Madre,Llamante solicitó información y/o orientación,2024-01-03,23:16,Metropolitana
457212,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-03,23:16,Metropolitana
457213,Otra/o sobre una situación de conflicto familiar,Femenino,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-03,23:17,Ns/Nc
457214,Otra/o sobre una situación de conflicto familiar,NS/NC,No hay niñas/os,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-03,23:25,Metropolitana
457214,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-04,00:07,Metropolitana
457217,Otra/o sobre una situación de conflicto familiar,Masculino,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,01:53,Metropolitana
457218,Otra/o sobre una situación de conflicto familiar,NS/NC,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,01:58,Metropolitana
450154,Otra/o sobre una situación de conflicto familiar,Femenino,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,02:58,Metropolitana
457219,Otra/o sobre una situación de conflicto familiar,NS/NC,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,03:10,Metropolitana
457220,Otra/o sobre una situación de conflicto familiar,Femenino,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,03:24,Metropolitana
457221,Otra/o sobre una situación de conflicto familiar,Femenino,Madre,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,03:30,Ns/Nc
457222,Otra/o sobre una situación de conflicto familiar,Femenino,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,05:32,Ns/Nc
457223,Otro/a,Femenino,Otro/a no familiar,Física y psicológica,Sin dato,Sin dato,Femenino,2,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-04,06:32,Metropolitana
457225,NS/NC,NS/NC,NS/NC,Psicológica,Sin dato,Sin dato,NS/NC,1,1,NS/NC,NS/NC,Llamante solicitó información y/o orientación,2024-01-04,07:14,Ns/Nc
457226,Otra/o sobre una situación de conflicto familiar,Femenino,Madre,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,09:05,Metropolitana
457227,Víctima,Masculino,NS/NC,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-04,12:07,Metropolitana
457228,Víctima,Femenino,NS/NC,Psicológica,48,40 a 49 años,Femenino,3,1,Masculino,Hermano/a,Llamante solicitó información y/o orientación,2024-01-04,12:09,NOA
457230,Otra/o sobre una situación de conflicto familiar,Femenino,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,13:09,Metropolitana
457231,Víctima,Femenino,No hay niñas/os,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-04,13:59,Metropolitana
457232,Familiar,Femenino,Otro familiar,Física y psicológica,Sin dato,Sin dato,Femenino,3,1,Masculino,Padrastro,Llamante solicitó información y/o orientación,2024-01-04,14:49,Metropolitana
457233,Familiar,Femenino,Otro familiar,Física y psicológica,3,0 a 5 años,Femenino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-04,15:28,Metropolitana
457234,Familiar,Femenino,Madre,No Aplica,Sin dato,Sin dato,Masculino,1,1,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-04,15:54,Metropolitana
457235,Otra/o sobre una situación de conflicto familiar,Femenino,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-04,16:06,Metropolitana
457236,Otro/a,Femenino,Otro/a no familiar,Psicológica,Sin dato,Sin dato,NS/NC,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-04,16:09,Metropolitana
455735,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-04,16:14,Metropolitana
457237,Víctima,Femenino,Hermano/a,Física y psicológica,16,12 a 17 años,Masculino,3,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-04,17:04,PAMPEANA
457239,Víctima,Femenino,NS/NC,Física y psicológica,24,18 a 29 años,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-04,17:32,Metropolitana
"442136,Víctima,Femenino,No hay niñas/os,""Física, sexual y psicológica"",54,50 a 59 años,Femenino,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-04,19:54,Metropolitana"
457240,Víctima,Femenino,Madre,Psicológica,20,18 a 29 años,Femenino,1,1,Femenino,Otro/a no conviviente,Llamante solicitó información y/o orientación,2024-01-04,22:22,Cuyo
454087,Víctima,Femenino,No hay niñas/os,Psicológica,50,50 a 59 años,Femenino,1,1,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-04,22:31,Metropolitana
457241,Víctima,Femenino,Madre,Física y psicológica,26,18 a 29 años,Femenino,1,2,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-04,22:56,Metropolitana
457242,Comisaría,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,3,1,Masculino,Ex pareja,Está interviniendo o se deriva a otra institución,2024-01-04,23:37,Metropolitana
457243,Familiar,Femenino,Otro familiar,Física y psicológica,Sin dato,Sin dato,Femenino,2,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-05,07:29,Metropolitana
457244,Familiar,Femenino,Otro familiar,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-05,09:16,Metropolitana
457245,Vecina/o,Femenino,No hay niñas/os,Física y psicológica,94,Más de 60 años,Femenino,1,1,Masculino,Hijo/a,Se planificó intervención para otro momento,2024-01-05,10:27,Metropolitana
457246,Familiar,Masculino,No hay niñas/os,Psicológica,Sin dato,Sin dato,Masculino,1,1,Femenino,Pareja,Llamante solicitó información y/o orientación,2024-01-05,10:42,Metropolitana
457247,Otra/o sobre una situación de conflicto familiar,Femenino,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-05,11:13,Metropolitana
457249,Víctima,Femenino,No hay niñas/os,Psicológica,Sin dato,Sin dato,Femenino,1,2,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-05,13:05,Metropolitana
457250,Vecina/o,Masculino,Otro/a no familiar,Psicológica,Sin dato,Sin dato,Femenino,2,1,Femenino,NS/NC,Llamante solicitó información y/o orientación,2024-01-05,13:12,Metropolitana
457245,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-05,14:17,Metropolitana
457245,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-05,15:35,Metropolitana
457252,Otra/o sobre una situación de conflicto familiar,Femenino,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-05,16:14,Metropolitana
457253,Víctima,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,5,1,Masculino,Otro/a no conviviente,Llamante solicitó información y/o orientación,2024-01-05,16:54,Metropolitana
457254,Comisaría,Femenino,Otro/a no familiar,Física y psicológica,25,18 a 29 años,Femenino,3,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-05,18:28,Metropolitana
457255,Otra/o sobre una situación de conflicto familiar,Femenino,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-05,21:08,Ns/Nc
457256,Otra/o sobre una situación de conflicto familiar,Masculino,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-05,21:11,Ns/Nc
457257,Otra/o sobre una situación de conflicto familiar,NS/NC,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-05,21:18,Ns/Nc
457242,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-05,23:45,Metropolitana
457258,Familiar,Femenino,Otro familiar,Física y psicológica,15,12 a 17 años,Femenino,2,1,Masculino,Padrastro,Llamante solicitó información y/o orientación,2024-01-05,23:45,Metropolitana
457259,Familiar,Femenino,Madre,Física y psicológica,1,0 a 5 años,Femenino,1,1,Masculino,Abuelo/a,Llamante solicitó información y/o orientación,2024-01-06,01:01,PAMPEANA
457260,Víctima,Masculino,NS/NC,Física y psicológica,Sin dato,Sin dato,Masculino,1,1,Masculino,Hermano/a,Llamante solicitó información y/o orientación,2024-01-06,01:08,Metropolitana
457262,Víctima,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,4,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-06,11:29,Metropolitana
457261,Víctima,Femenino,Madre,Física y psicológica,42,40 a 49 años,Femenino,3,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-06,11:30,NOA
457263,Víctima,Femenino,Madre,Psicológica,Sin dato,Sin dato,Femenino,2,1,Masculino,Otro/a conviviente,Está interviniendo o se deriva a otra institución,2024-01-06,11:39,Metropolitana
"457264,Vecina/o,Masculino,No hay niñas/os,""Económica, física y psicológica"",86,Más de 60 años,Femenino,1,2,Femenino,Hijo/a,No había móviles y/o Equipos para realizar la intervención,2024-01-06,11:54,Metropolitana"
457264,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-06,12:02,Metropolitana
457245,Vecina/o,Femenino,No hay niñas/os,Física y psicológica,95,Más de 60 años,Femenino,1,1,Masculino,Hijo/a,No había móviles y/o Equipos para realizar la intervención,2024-01-06,13:25,Metropolitana
457265,Víctima,Masculino,Madre,Psicológica,Sin dato,Sin dato,Femenino,2,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-06,13:34,Pampeana
441846,Otra/o sobre una situación de conflicto familiar,Femenino,Madre,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-06,17:12,Metropolitana
457266,Víctima,Femenino,Madre,Psicológica,Sin dato,Sin dato,Femenino,3,1,Masculino,Ex pareja,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-06,17:44,Metropolitana
457267,Familiar,Femenino,Otro familiar,Psicológica,Sin dato,Sin dato,Masculino,3,1,Femenino,Madre,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-06,17:47,Metropolitana
451276,Víctima,Femenino,Madre,Psicológica,Sin dato,Sin dato,Femenino,2,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-06,18:33,Metropolitana
457268,Víctima,Masculino,Padre,Física y psicológica,36,30 a 39 años,Masculino,1,1,Femenino,Pareja,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-06,19:12,Metropolitana
457242,Profesionales de la Línea 137,NS/NC,NS/NC,No Aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Otras,2024-01-06,19:30,Metropolitana
457269,Otra/o sobre una situación de conflicto familiar,Masculino,NS/NC,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-06,19:33,Metropolitana
457270,Víctima,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,2,1,Femenino,Hermano/a,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-06,19:36,Metropolitana
457272,Víctima,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,2,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-06,23:00,PAMPEANA
456253,Víctima,NS/NC,No hay niñas/os,Psicológica,28,18 a 29 años,NS/NC,1,3,NS/NC,Otro/a conviviente,Llamante solicitó información y/o orientación,2024-01-06,23:34,Metropolitana
457274,Víctima,NS/NC,NS/NC,Psicológica,Sin dato,Sin dato,NS/NC,1,1,NS/NC,Pareja,Llamante solicitó información y/o orientación,2024-01-07,01:49,Metropolitana
457275,Víctima,NS/NC,NS/NC,Física y psicológica,40,40 a 49 años,NS/NC,1,1,Masculino,Padre,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-07,01:51,Metropolitana
457277,Víctima,Femenino,No hay niñas/os,Física y psicológica,66,Más de 60 años,Femenino,3,1,Masculino,Hijo/a,Llamante solicitó información y/o orientación,2024-01-07,08:27,Metropolitana
457278,Víctima,Femenino,NS/NC,Psicológica,53,50 a 59 años,Femenino,1,1,Masculino,Hermano/a,Llamante solicitó información y/o orientación,2024-01-07,08:55,PAMPEANA
449588,Víctima,Femenino,NS/NC,Física y psicológica,52,50 a 59 años,Femenino,1,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-07,09:28,Metropolitana
457280,Vecina/o,Femenino,Otro/a no familiar,Física y psicológica,12,12 a 17 años,Femenino,3,2,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-07,11:06,Metropolitana
457281,Vecina/o,Femenino,Madre,Psicológica,8,06 a 11 años,Masculino,2,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-07,12:33,Metropolitana
454342,Víctima,Femenino,Madre,Psicológica,Sin dato,Sin dato,Femenino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-07,12:36,Metropolitana
457282,Familiar,Femenino,Otro familiar,Física y psicológica,13,12 a 17 años,Masculino,2,2,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-07,13:47,Metropolitana
457283,Vecina/o,Femenino,No hay niñas/os,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,NS/NC,No se desplazó un Equipo móvil por tratarse de un caso fuera de CABA,2024-01-07,13:50,Metropolitana
457284,Familiar,Femenino,No hay niñas/os,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Hijo/a,Llamante solicitó información y/o orientación,2024-01-07,15:50,Cuyo
457285,Vecina/o,Femenino,Otro/a no familiar,Física y psicológica,7,06 a 11 años,Masculino,1,2,Masculino,Padre,Llamante solicitó información y/o orientación,2024-01-07,16:31,Metropolitana
457286,Víctima,Femenino,Madre,Psicológica,34,30 a 39 años,Femenino,6,1,Masculino,Pareja,Llamante solicitó información y/o orientación,2024-01-07,17:33,Metropolitana
457169,Víctima,Femenino,Madre,Física y psicológica,Sin dato,Sin dato,Femenino,1,1,Masculino,Ex pareja,Llamante solicitó información y/o orientación,2024-01-07,21:10,Metropolitana
457287,Otra/o sobre una situación de conflicto familiar,Femenino,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-07,23:12,Metropolitana
"457288,Vecina/o,Masculino,Otro/a no familiar,""Física, sexual y psicológica"",7,06 a 11 años,Masculino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-08,02:16,Cuyo"
457269,Otra/o sobre una situación de conflicto familiar,Masculino,No hay niñas/os,No aplica,Sin dato,Sin dato,NS/NC,0,0,NS/NC,NS/NC,Se trata de un conflicto familiar,2024-01-08,03:01,Metropolitana
457289,Vecina/o,Femenino,Otro/a no familiar,Psicológica,Sin dato,Sin dato,Femenino,1,1,Femenino,Madre,Llamante solicitó información y/o orientación,2024-01-08,03:21,Metropolitana
